time,value
2026-06-16T22:00:37.734768257Z,33
2026-06-16T22:01:23.134409776Z,32
2026-06-16T22:35:03.981988625Z,34
2026-06-16T22:35:05.034839296Z,35
2026-06-16T22:35:07.027494386Z,34
2026-06-16T22:36:37.023568618Z,33
2026-06-17T01:23:56.210623717Z,33
2026-06-17T01:23:56.708034683Z,32
2026-06-17T01:38:28.704674915Z,31
2026-06-17T01:38:40.709416173Z,32
2026-06-17T01:38:52.700936067Z,31
2026-06-17T01:39:14.694082945Z,32
2026-06-17T01:39:22.704163295Z,31
2026-06-17T01:39:36.694105524Z,32
2026-06-17T01:40:30.697220621Z,31
2026-06-17T01:40:38.697066691Z,32
2026-06-17T01:40:44.694667723Z,31
2026-06-17T01:40:54.705937844Z,32
2026-06-17T01:41:00.702160937Z,31
2026-06-17T01:41:36.787977629Z,32
2026-06-17T01:41:38.779787503Z,31
2026-06-17T01:42:10.698778959Z,32
2026-06-17T01:42:14.696669785Z,31
2026-06-17T01:42:22.697290811Z,32
2026-06-17T01:43:06.696394215Z,31
2026-06-17T01:43:10.695926277Z,32
2026-06-17T01:43:12.700730962Z,31
2026-06-17T01:43:18.695451576Z,32
2026-06-17T01:44:42.701638454Z,31
2026-06-17T01:45:00.69716119Z,32
2026-06-17T01:48:44.782323394Z,31
2026-06-17T01:49:22.781861365Z,32
2026-06-17T01:49:34.703335579Z,31
2026-06-17T01:49:40.698124461Z,32
2026-06-17T01:49:48.338571987Z,31
2026-06-17T01:49:58.699489876Z,32
2026-06-17T01:50:16.702764501Z,31
2026-06-17T01:50:20.728218804Z,32
2026-06-17T01:50:24.877968581Z,31
2026-06-17T01:50:28.790827294Z,32
2026-06-17T01:50:40.703052553Z,31
2026-06-17T01:50:42.698585012Z,32
2026-06-17T01:50:44.705119364Z,31
2026-06-17T01:51:26.701949988Z,32
2026-06-17T01:51:50.69996613Z,31
2026-06-17T01:52:18.699427338Z,32
2026-06-17T01:52:24.697022323Z,31
2026-06-17T01:52:26.697027605Z,32
2026-06-17T01:52:28.705526898Z,31
2026-06-17T01:52:50.7130511Z,32
2026-06-17T01:52:56.878415305Z,31
2026-06-17T01:54:04.891418663Z,32
2026-06-17T01:54:12.791555357Z,31
2026-06-17T01:54:44.697484933Z,32
2026-06-17T01:54:48.788816497Z,31
2026-06-17T01:56:32.70839703Z,32
2026-06-17T01:56:34.707908663Z,31
2026-06-17T01:56:36.698243751Z,32
2026-06-17T01:57:26.701194321Z,31
2026-06-17T02:21:00.70783692Z,30
2026-06-17T02:21:04.709316345Z,31
2026-06-17T02:21:08.705665588Z,30
2026-06-17T02:21:28.788074273Z,31
2026-06-17T02:21:40.711092491Z,30
2026-06-17T02:21:52.712114581Z,31
2026-06-17T02:22:52.710555587Z,30
2026-06-17T02:22:56.706559612Z,31
2026-06-17T02:23:08.720344931Z,30
2026-06-17T02:23:10.81214126Z,31
2026-06-17T02:23:16.789830259Z,30
2026-06-17T02:23:26.887298849Z,31
2026-06-17T02:23:34.782639164Z,30
2026-06-17T02:23:48.80549996Z,31
2026-06-17T02:24:02.706234803Z,30
2026-06-17T02:24:10.812728052Z,31
2026-06-17T02:24:28.705055183Z,30
2026-06-17T02:25:16.785686364Z,31
2026-06-17T02:25:22.800161833Z,30
2026-06-17T02:28:42.72171538Z,31
2026-06-17T02:31:22.707384062Z,30
2026-06-17T02:31:30.705137442Z,31
2026-06-17T02:32:50.718680444Z,30
2026-06-17T02:32:58.709841592Z,31
2026-06-17T02:33:12.709072494Z,30
2026-06-17T02:33:22.716464839Z,31
2026-06-17T02:36:06.711562216Z,30
2026-06-17T02:36:08.717097369Z,31
2026-06-17T02:38:16.730398402Z,30
2026-06-17T02:39:37.004609578Z,31
2026-06-17T02:40:08.711860084Z,30
2026-06-17T02:40:42.713138801Z,31
2026-06-17T02:40:56.414408915Z,30
2026-06-17T02:41:26.721628883Z,31
2026-06-17T02:41:30.713136682Z,30
2026-06-17T12:52:56.554541856Z,33
2026-06-17T12:53:10.72769489Z,34
2026-06-17T12:53:14.726891689Z,36
2026-06-17T12:53:16.738205739Z,35
2026-06-17T12:53:25.211451284Z,34
2026-06-17T12:53:52.820435723Z,33
2026-06-17T12:54:34.72886215Z,34
2026-06-17T12:54:48.730240488Z,33
