time,value
2026-06-16T22:35:03.981988625Z,0
2026-06-16T22:36:14.573518318Z,96
2026-06-16T22:36:15.033795854Z,93
2026-06-16T22:36:17.114592154Z,96
2026-06-16T22:36:19.021566695Z,86
2026-06-16T22:36:21.031658897Z,0
2026-06-17T01:23:56.210623717Z,0
2026-06-17T12:52:56.554541856Z,0
2026-06-17T12:54:33.023456021Z,91
2026-06-17T12:54:34.72886215Z,99
2026-06-17T12:54:36.808521567Z,100
2026-06-17T12:54:38.733287977Z,84
2026-06-17T12:54:40.726691376Z,89
2026-06-17T12:54:42.805921356Z,95
2026-06-17T12:54:44.72662953Z,91
2026-06-17T12:54:46.726620854Z,78
2026-06-17T12:54:48.730240488Z,100
2026-06-17T12:54:50.728912284Z,95
2026-06-17T12:54:52.729611974Z,91
2026-06-17T12:54:54.726773009Z,0
2026-06-17T12:54:56.733238659Z,66
2026-06-17T12:54:58.738753783Z,78
2026-06-17T12:55:02.728326733Z,75
2026-06-17T12:55:04.726295674Z,78
2026-06-17T12:55:08.725707499Z,80
2026-06-17T12:55:10.734338506Z,82
2026-06-17T12:55:12.729150405Z,88
2026-06-17T12:55:14.730116195Z,84
2026-06-17T12:55:16.731261172Z,80
2026-06-17T12:55:18.893472784Z,84
2026-06-17T12:55:21.0247936Z,82
2026-06-17T12:55:23.23373012Z,86
2026-06-17T12:55:25.41550276Z,0
2026-06-17T12:55:27.128196323Z,96
2026-06-17T12:55:29.095694713Z,85
2026-06-17T12:55:31.320623485Z,88
2026-06-17T12:55:33.219880395Z,85
2026-06-17T12:55:35.024481522Z,86
2026-06-17T12:55:36.939757927Z,88
2026-06-17T12:55:39.130447287Z,86
2026-06-17T12:55:40.984553139Z,83
2026-06-17T12:55:47.037216331Z,88
2026-06-17T12:55:49.213147905Z,89
2026-06-17T12:55:51.040029248Z,80
2026-06-17T12:55:53.130459857Z,100
2026-06-17T12:55:55.32314372Z,93
2026-06-17T12:55:57.228635029Z,92
2026-06-17T12:55:59.217920081Z,100
2026-06-17T12:56:06.825376163Z,90
2026-06-17T12:56:08.734713958Z,95
2026-06-17T12:56:10.828195118Z,100
2026-06-17T12:56:16.738425707Z,93
2026-06-17T12:56:18.816540632Z,100
2026-06-17T12:56:24.812813427Z,97
2026-06-17T12:56:26.730443095Z,100
2026-06-17T12:56:30.732284008Z,87
2026-06-17T12:56:32.73840867Z,100
2026-06-17T12:56:34.730258798Z,96
2026-06-17T12:56:36.729282936Z,91
2026-06-17T12:56:38.731995291Z,88
2026-06-17T12:56:40.730248936Z,95
