time,value
2026-06-16T22:35:03.981988625Z,0
2026-06-16T22:35:47.037295491Z,100
2026-06-16T22:36:01.020318301Z,0
2026-06-17T01:23:56.210623717Z,0
2026-06-17T01:56:16.800940835Z,100
2026-06-17T01:56:18.797600525Z,0
2026-06-17T02:17:30.720627622Z,100
2026-06-17T02:17:34.785615716Z,0
2026-06-17T12:52:56.554541856Z,0
2026-06-17T12:53:12.727089718Z,100
2026-06-17T12:56:44.727926718Z,0
2026-06-17T12:57:46.987175507Z,100
2026-06-17T13:03:09.019277939Z,0
2026-06-17T13:03:13.127266265Z,100
2026-06-17T13:07:00.73154433Z,0
2026-06-17T13:07:02.728127047Z,100
2026-06-17T13:07:04.835824956Z,0
2026-06-17T13:07:26.922638102Z,100
2026-06-17T13:07:44.738693771Z,0
2026-06-17T13:09:12.903886958Z,100
2026-06-17T13:34:06.739499253Z,0
2026-06-17T13:34:30.491018318Z,100
2026-06-17T13:34:52.815377878Z,0
2026-06-17T18:57:22.484675565Z,0
2026-06-17T18:57:32.657666466Z,100
2026-06-17T19:00:38.654504281Z,0
2026-06-17T19:00:42.656547503Z,100
2026-06-17T19:00:44.653049187Z,0
2026-06-17T19:00:46.656282222Z,100
2026-06-17T19:00:48.652386938Z,0
2026-06-17T19:01:02.781331059Z,100
2026-06-17T19:36:02.662775824Z,0
2026-06-17T20:30:53.12154578Z,100
2026-06-17T20:31:34.668607892Z,0
2026-06-17T20:31:43.140734458Z,100
2026-06-17T21:35:14.679252033Z,0
2026-06-17T21:35:18.676332751Z,100
2026-06-17T22:00:18.793737548Z,0
